,W,L,T,Position,Team,Rk_x,G_x,PF,Yds_x,Ply,Y/P,TO,FL,1stD,Cmp_x,Att_x,Yds_x,TD_x,Int_x,NY/A_x,1stD,Att_x,Yds_x,TD_x,Y/A_x,1stD,Pen,Yds_x,1stPy,Sc%_x,TO%_x,EXP_x,Rk_y,G_y,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_x,G_x,#Dr,Plays,Sc%_y,TO%_y,Plays,Yds_y,Start,Time,Pts,Rk_y,G_y,Cmp_y,Att_y,Cmp%,Yds,TD_y,TD%,Int_y,Int%,Lng,Y/A_y,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A_y,ANY/A,4QC,GWD,EXP_y
0,15,2,0,West Champion,Kansas City Chiefs,15,17,385,5570,1091,5.1,14,3,350,404,600,3780,26,11,5.9,219,450,1790,15,4.0,106,94,829,25,43.2,8.3,113.11,1,17,229,111,48.5%,17,12,70.6%,65,35,53.8%,30,17,169,1128,43.2,8.3,6.7,33.0,Own 30.1,3:08,2.27,14.0,17.0,404.0,600.0,67.3,3780.0,26.0,4.3,11.0,1.8,54.0,6.7,6.8,10.0,222.4,93.1,41.0,266.0,6.4,5.9,5.9,5.0,7.0,116.94
1,13,4,0,East Champion,Buffalo Bills,2,17,525,6105,1025,6.0,8,2,360,329,520,3875,30,6,7.3,181,491,2230,32,4.5,140,112,833,39,49.7,4.6,266.71,10,17,202,89,44.1%,22,16,72.7%,67,48,71.6%,28,17,173,1054,49.7,4.6,6.1,35.4,Own 33.4,2:56,2.92,9.0,17.0,329.0,520.0,63.3,3875.0,30.0,5.8,6.0,1.2,69.0,7.6,8.2,12.0,227.9,100.8,14.0,63.0,2.6,7.3,7.9,0.0,2.0,205.26
2,12,5,0,North Champion,Baltimore Ravens,3,17,518,7224,1055,6.8,11,7,393,318,477,4035,41,4,8.1,199,554,3189,21,5.8,164,132,1120,30,47.0,6.1,300.81,7,17,191,92,48.2%,15,8,53.3%,66,49,74.2%,20,17,181,1085,47.0,6.1,6.0,39.7,Own 28.5,2:56,2.80,7.0,17.0,318.0,477.0,66.7,4035.0,41.0,8.6,4.0,0.8,84.0,8.8,10.1,13.2,237.4,119.4,24.0,154.0,4.8,8.1,9.3,2.0,2.0,221.45
3,10,7,0,South Champion,Houston Texans,19,17,372,5435,1058,5.1,19,7,308,357,570,3526,20,12,5.7,197,434,1909,15,4.4,89,119,981,22,36.8,9.3,11.46,12,17,231,87,37.7%,18,11,61.1%,57,28,49.1%,3,17,193,1100,36.8,9.3,5.7,28.1,Own 31.8,2:43,1.83,21.0,17.0,357.0,570.0,62.6,3526.0,20.0,3.5,12.0,2.1,67.0,6.9,6.7,11.1,207.4,86.1,54.0,426.0,8.7,5.7,5.4,1.0,2.0,46.5
4,11,6,0,Wild Card #1,Los Angeles Chargers,11,17,402,5511,1017,5.4,9,6,316,336,510,3629,23,3,6.6,176,463,1882,17,4.1,110,96,718,30,42.9,4.4,83.28,11,17,221,89,40.3%,16,10,62.5%,50,28,56.0%,15,17,182,1055,42.9,4.4,5.8,29.9,Own 29.5,2:51,2.14,19.0,17.0,336.0,510.0,65.9,3629.0,23.0,4.5,3.0,0.6,66.0,7.6,8.3,11.6,213.5,101.4,44.0,272.0,7.9,6.6,7.1,1.0,2.0,95.84
5,10,7,0,Wild Card #2,Pittsburgh Steelers,16,17,380,5430,1081,5.0,17,11,318,321,499,3264,21,6,6.0,158,533,2166,14,4.1,122,102,823,38,39.6,8.6,13.94,9,17,228,90,39.5%,18,7,38.9%,56,27,48.2%,9,17,187,1110,39.6,8.6,5.9,28.4,Own 31.6,2:46,1.91,27.0,17.0,321.0,499.0,64.3,3264.0,21.0,4.2,6.0,1.2,55.0,7.2,7.5,11.2,192.0,94.8,49.0,343.0,8.9,6.0,6.2,1.0,2.0,56.49
6,10,7,0,Wild Card #3,Denver Broncos,10,17,425,5518,1055,5.2,19,7,315,379,570,3610,30,12,6.1,172,461,1908,12,4.1,124,108,941,19,38.4,10.0,48.21,8,17,230,91,39.6%,22,15,68.2%,56,35,62.5%,7,17,190,1089,38.4,10.0,5.7,29.0,Own 32.5,2:41,2.04,20.0,17.0,379.0,570.0,66.5,3610.0,30.0,5.3,12.0,2.1,93.0,6.7,6.8,10.0,212.4,94.1,24.0,198.0,4.0,6.1,6.2,3.0,3.0,63.8
7,9,8,0,,Cincinnati Bengals,6,17,472,6214,1080,5.8,22,13,376,460,652,4640,43,9,6.6,253,380,1574,11,4.1,88,101,780,35,43.6,10.5,150.85,3,17,214,100,46.7%,19,10,52.6%,61,39,63.9%,22,17,181,1113,43.6,10.5,6.1,34.3,Own 31.4,2:55,2.50,1.0,17.0,460.0,652.0,70.6,4640.0,43.0,6.6,9.0,1.4,70.0,7.5,8.2,10.7,272.9,108.5,48.0,278.0,6.9,6.6,7.3,1.0,2.0,166.38
8,8,9,0,,Indianapolis Colts,17,17,377,5692,1041,5.5,29,10,315,289,513,3361,20,19,6.2,161,496,2331,20,4.7,130,93,684,24,36.6,14.9,12.49,15,17,219,83,37.9%,28,17,60.7%,52,28,53.8%,2,17,194,1078,36.6,14.9,5.6,29.3,Own 28.9,2:27,1.92,25.0,17.0,289.0,513.0,56.3,3361.0,20.0,3.9,19.0,3.7,69.0,7.0,6.1,12.5,197.7,75.8,32.0,238.0,5.9,6.2,5.3,3.0,5.0,17.17
9,8,9,0,,Miami Dolphins,22,17,345,5532,1082,5.1,21,11,344,413,591,3737,22,10,5.9,221,448,1795,12,4.0,90,114,926,33,39.0,11.0,0.06,24,17,212,77,36.3%,31,15,48.4%,53,30,56.6%,14,17,182,1123,39.0,11.0,6.2,30.1,Own 30.3,2:58,1.92,15.0,17.0,413.0,591.0,69.9,3737.0,22.0,3.7,10.0,1.7,80.0,6.8,6.8,9.8,219.8,94.1,43.0,299.0,6.8,5.9,5.9,3.0,3.0,79.47
